student_id,tenth_percentage,inter_percentage,cgpa,coding_score,dsa_score,projects_count,internships,aptitude_score,communication_skill,mock_interview_score,certifications,placement_status
1,71.11,71.93,6.79,47,93,5,1,92,82,22,0,1
2,95.88,75.36,6.6,41,23,2,2,69,23,72,2,0
3,86.48,91.75,5.85,35,42,5,0,20,47,93,4,0
4,80.74,69.62,7.91,32,33,2,1,58,91,55,1,0
5,61.71,92.39,7.29,81,24,4,0,93,54,68,0,0
6,61.71,58.79,9.16,62,85,2,0,63,21,46,4,1
7,57.5,88.4,5.15,97,43,3,3,24,60,72,3,1
8,92.25,91.44,8.09,51,37,1,3,87,47,68,1,0
9,80.85,62.82,8.66,86,46,1,1,91,94,20,0,1
10,85.45,73.5,8.65,76,43,3,3,99,92,65,3,1
11,55.89,62.12,9.25,84,48,0,2,84,20,81,1,1
12,96.71,85.38,8.5,88,30,0,1,98,46,96,1,1
13,90.8,78.02,9.45,68,37,0,3,34,86,85,0,1
14,64.13,82.32,6.6,52,23,0,3,69,58,41,0,0
15,62.82,63.45,7.42,38,52,4,2,25,92,58,0,0
16,62.89,64.11,5.07,55,97,3,0,85,59,63,4,1
17,68.08,56.78,5.03,89,61,1,2,88,47,21,1,0
18,77.56,68.85,6.15,34,51,3,0,58,43,94,2,0
19,73.57,79.07,5.48,43,70,1,3,48,70,78,3,0
20,67.52,91.89,6.25,46,23,0,0,65,75,47,0,0
21,81.31,83.68,5.85,68,39,4,0,50,92,86,1,0
22,61,73.72,5.14,94,86,2,3,43,45,33,3,1
23,67.56,95.98,9.36,42,87,2,1,34,71,35,2,1
24,70.75,85.93,5.04,52,81,5,2,95,25,70,3,1
25,74.61,95,8.53,60,77,0,3,39,78,47,2,1
26,88.76,77.69,5.73,75,66,0,2,23,31,72,0,0
27,63.59,66.13,9.38,48,94,3,2,77,82,71,4,1
28,77.11,57.27,9.29,50,99,4,0,96,55,44,2,1
29,80.47,86.22,8.14,84,78,4,3,80,28,76,0,1
30,57,60.22,8.23,37,25,3,1,29,93,28,3,0
31,81.12,68.02,5.03,25,59,4,2,60,86,30,3,0
32,62.33,77.9,9.73,71,96,4,2,72,48,64,3,1
33,57.8,79.27,9.21,59,42,2,1,90,90,21,4,1
34,95.8,80.83,9.3,84,71,4,2,95,27,73,1,1
35,96.52,62.15,8.16,61,23,0,3,67,62,53,2,0
36,89.76,71.33,6.65,87,56,2,1,34,96,61,1,1
37,68.1,81.54,9.29,51,61,0,3,26,54,96,3,1
38,59.2,96.7,6.4,29,63,0,1,91,41,88,4,0
39,84.42,86.29,7.7,88,61,3,2,90,99,30,0,1
40,73.93,94.67,5.48,28,48,5,1,62,98,48,4,0
41,60.25,87.78,9.43,88,38,4,3,23,85,24,1,1
42,76.29,80.44,5.68,80,51,4,1,70,40,39,3,0
43,56.48,63.26,6.08,30,63,4,2,90,90,58,2,0
44,94.1,83.67,7.68,87,74,4,0,78,60,93,4,1
45,66.13,81.81,8.67,93,99,2,2,60,60,51,1,1
46,83.49,80.91,7.97,27,24,1,2,80,68,48,1,0
47,68.4,76.06,6.11,68,65,0,0,49,23,85,0,0
48,77.36,77.73,5,43,95,5,1,37,84,20,2,0
49,78.51,69.38,8.63,52,64,5,2,49,29,20,1,0
50,62.95,77.33,9.73,38,40,1,0,26,86,23,2,0
51,96.69,63.49,8.89,21,97,1,3,71,29,34,3,0
52,88.33,89.62,7.21,74,41,1,0,67,92,66,4,0
53,95.4,62.99,9.34,30,49,2,2,42,36,49,1,0
54,93.48,58.65,6.97,36,42,1,3,56,86,25,3,0
55,80.71,73.76,7.52,61,24,2,2,90,72,20,0,0
56,94.64,83.31,7.29,80,82,3,0,72,54,90,2,1
57,58.81,73.82,7.15,22,78,3,3,64,23,81,3,0
58,63.43,66.9,8.72,54,71,5,2,68,87,83,2,1
59,56.94,79,7.53,85,84,3,0,68,30,24,2,1
60,68.99,69.92,6.52,20,58,2,3,66,63,73,1,0
61,71.71,95.11,6.24,26,22,2,2,44,79,68,2,0
62,66.67,94.67,5.18,39,61,0,0,46,89,26,3,0
63,90.64,76.6,7.8,62,90,1,2,31,81,22,0,0
64,70.34,69.1,6.1,25,46,4,2,42,51,95,1,0
65,67.08,86.7,5.71,74,47,4,2,36,65,80,4,1
66,78.34,56.58,8.14,40,73,1,1,63,42,98,0,0
67,61.06,75.42,8.27,70,34,4,2,90,56,60,3,1
68,89.49,69.46,8.61,65,72,4,3,43,94,40,1,1
69,58.21,94.58,7.42,54,91,4,0,90,77,51,2,1
70,97.44,55.52,9.29,27,89,5,0,79,62,31,0,1
71,88.21,78.77,9.49,87,23,2,1,72,34,26,1,0
72,63.54,86.85,8.88,35,36,2,1,93,86,70,4,1
73,55.24,75.86,8.05,86,53,2,1,35,21,64,4,0
74,90.06,58.67,6.46,90,25,1,2,44,90,84,4,1
75,85.39,96.82,9.72,83,55,3,2,85,24,79,1,1
76,86.35,77.27,6.32,21,58,5,3,69,72,94,0,1
77,88.16,81.41,5.97,20,99,5,0,88,64,64,2,1
78,58.18,65.17,7.12,77,85,4,0,97,60,53,0,1
79,70.41,75.79,5.27,20,27,0,2,59,82,30,2,0
80,59.98,73.45,9.7,26,34,2,0,25,91,52,0,0
81,92.11,58.22,7.82,88,82,5,2,83,51,27,0,1
82,81.8,59.56,7.67,37,99,5,1,47,21,64,1,1
83,69.23,91.01,8.15,51,84,0,2,28,29,91,4,1
84,57.73,65.31,7.39,64,78,4,3,25,62,97,4,1
85,68.37,63.38,5.15,52,29,5,2,36,62,53,4,0
86,68.98,76.71,7.94,93,26,5,2,59,86,64,4,1
87,86.37,88.06,8.44,92,93,3,0,95,42,84,0,1
88,82.41,57.66,7,68,95,0,2,64,79,92,4,1
89,93.15,79.8,8.64,52,31,4,3,62,25,71,0,0
90,75.31,60.13,6.09,90,98,4,2,65,32,29,2,1
91,60.14,56.57,6.06,87,65,2,2,82,40,62,3,1
92,85.67,57.27,5.77,47,51,3,1,20,77,89,3,0
93,87.71,90.87,6.79,72,51,4,2,78,47,30,2,0
94,79.13,60.07,9.07,63,97,3,2,82,89,55,0,1
95,88.15,56.94,8.97,99,80,2,2,98,27,37,4,1
96,76.23,73.83,6.84,74,88,0,3,37,96,82,1,1
97,77.48,91.29,7.83,29,80,5,0,84,77,24,0,0
98,73.38,66.28,8.46,33,65,5,1,39,59,50,0,0
99,56.09,73.13,6.16,55,87,1,1,75,20,35,2,0
100,59.64,56.72,5.81,53,74,1,2,73,96,85,2,1
101,56.35,74.31,9.67,37,20,1,2,67,84,28,1,0
102,82.37,79.84,7.96,35,96,5,0,73,29,21,4,0
103,68.52,79.55,9.71,56,86,3,2,35,79,56,3,1
104,76.87,69.29,6.62,60,68,1,3,39,88,78,4,1
105,94.03,68.57,8.37,44,44,0,0,66,39,77,4,0
106,65.72,59.58,6.07,27,35,4,2,26,81,27,0,0
107,72.65,70.77,6.25,37,32,3,0,42,32,71,1,0
108,87.49,59.28,7.46,87,71,5,1,94,77,94,0,1
109,64.84,87.96,6.53,67,55,0,2,52,56,96,2,0
110,58.31,96.55,5.8,89,91,5,0,59,29,96,3,1
111,67.46,96.71,6.26,86,63,3,0,24,22,92,1,0
112,61.93,92.2,5.17,37,66,3,2,64,53,88,1,0
113,94.98,80.83,8.38,37,99,3,0,60,53,71,4,1
114,89.75,85.14,7.36,75,95,2,2,27,49,97,0,1
115,82.24,67.26,5.45,42,39,4,2,69,56,53,4,0
116,92.47,82.12,5.82,54,37,1,3,50,87,67,4,0
117,89.56,74.59,5.49,25,73,2,3,23,53,43,1,0
118,63.02,75.73,7.94,45,31,4,0,85,51,32,3,0
119,93.38,87.58,5.45,80,44,5,0,75,77,69,2,1
120,78.19,67.12,8.62,34,79,1,0,24,43,84,4,0
121,89.72,68.68,5.1,51,94,2,1,73,28,90,3,0
122,93.53,94.76,6.2,31,53,2,2,99,60,23,4,0
123,68.67,57.42,9.28,24,32,0,2,20,43,83,3,0
124,59.73,75.88,8.45,83,57,2,1,95,44,93,0,1
125,64.8,94.25,5.35,90,31,3,1,92,55,58,2,0
126,73.37,81.25,8.94,46,55,5,0,80,27,82,1,1
127,90.17,78.5,7.37,98,47,2,2,26,78,77,0,1
128,92.01,65.74,9.06,64,58,3,3,49,54,35,4,1
129,55.3,69.76,7.88,54,96,4,3,34,57,81,4,1
130,76.96,91.64,8.27,45,62,4,1,23,51,29,2,0
131,72.95,79.05,9.77,42,50,3,1,82,70,81,2,1
132,64.55,77.13,6.12,32,21,0,2,89,47,52,2,0
133,60.15,59.28,7.99,22,61,0,2,57,75,90,4,0
134,69.52,55.69,7.21,48,50,4,3,66,27,61,4,0
135,95.55,96.44,5.19,85,80,5,2,79,60,63,1,1
136,68.9,71.21,5.07,83,75,2,0,21,42,65,2,0
137,77.31,80.94,5.57,47,33,4,1,88,73,92,3,0
138,85.23,58.43,8.12,55,33,4,3,27,42,93,1,0
139,70.64,84.37,7.72,25,48,3,3,70,51,50,3,0
140,96.79,95.1,7.66,30,69,0,0,38,29,24,0,0
141,96.39,79.75,5.15,57,69,5,2,50,54,37,2,0
142,65.83,60.42,7.25,53,82,3,2,99,82,25,1,1
143,76.38,80.01,9.44,86,92,4,1,41,86,69,1,1
144,67.94,87.95,6.91,65,84,1,0,52,55,47,0,0
145,67.25,72.48,8,48,87,2,3,91,68,43,0,1
146,56.59,92.83,8.74,79,90,4,0,56,65,88,0,1
147,81.21,82.89,8.76,73,30,3,3,31,46,47,1,0
148,76.62,93.67,7.49,88,33,1,0,88,50,77,4,1
149,57.21,81.81,9.12,93,22,1,2,83,53,86,3,1
150,66.98,60.65,6.88,93,27,4,3,44,95,37,3,1
151,94.06,68.32,9.27,28,62,5,1,73,78,23,0,0
152,65.3,63.68,6.15,96,28,0,0,48,73,68,4,0
153,61.23,94.08,6.35,29,38,1,2,32,85,51,4,0
154,76.05,87.7,5.25,94,31,2,3,45,49,85,0,0
155,97.38,84.09,8.82,87,46,3,2,41,92,77,2,1
156,65.41,67.94,7,77,77,3,0,95,42,30,1,0
157,83.9,62.91,6.1,71,44,3,1,92,28,84,2,0
158,87.75,87.53,6.11,53,64,4,1,29,74,36,4,0
159,65.22,75.39,9.33,54,67,3,0,67,20,99,0,1
160,86.31,64.71,9,52,69,3,3,61,75,85,1,1
161,70.81,81.51,7.66,91,63,2,2,78,58,23,3,1
162,82.19,56.73,7.96,51,78,0,2,72,37,51,4,0
163,82.24,69.03,7.28,74,52,5,3,59,61,90,1,1
164,78.04,75.15,6.88,27,97,4,0,94,92,48,1,1
165,58.88,61.36,9.39,65,47,4,2,81,94,80,2,1
166,90.92,97.34,5.6,33,37,3,2,25,84,79,3,0
167,68.79,63.99,7.01,27,74,2,0,23,94,92,2,0
168,63.02,60.61,6.65,90,52,1,2,74,52,77,2,1
169,56.75,63.75,7.39,96,34,3,3,88,49,72,2,1
170,80.41,88.07,7.2,73,80,3,3,22,24,24,2,0
171,84.14,73.3,7.49,40,30,4,0,26,69,80,4,0
172,55.71,79.31,5.67,94,55,4,0,31,84,40,3,0
173,77.02,55.9,7.46,33,34,3,3,36,29,77,2,0
174,64.74,56.48,6.16,94,72,4,0,86,79,33,4,1
175,82.74,74.17,5.88,21,81,2,3,94,96,98,4,1
176,62.5,90.12,5.31,80,67,1,3,89,46,73,1,1
177,84.71,93.07,8.66,36,34,1,3,55,91,97,1,1
178,71.63,58.73,7.05,97,82,1,2,36,47,60,0,1
179,95.28,78.15,8.01,67,62,3,0,20,64,35,4,0
180,60.91,94.27,8.49,27,69,5,2,86,71,70,0,1
181,69.67,71.68,8.26,75,79,3,0,99,85,20,4,1
182,59.88,90.67,7.26,36,78,3,1,97,81,59,2,1
183,94.76,60.75,6.86,88,34,2,2,68,95,37,2,1
184,92.73,95.22,6.8,31,48,1,2,70,96,53,0,0
185,66.09,87.31,8.07,57,94,4,2,90,79,80,2,1
186,83.38,95.48,7.38,37,59,4,1,62,59,40,2,0
187,90.14,84.09,9.08,45,50,0,0,50,34,20,1,0
188,78.87,70.63,9.2,56,92,0,1,43,26,46,2,0
189,77.77,95.34,5.82,89,30,5,0,56,58,70,1,0
190,65.4,66.85,5.65,60,81,4,0,84,70,30,3,0
191,59,69.28,8.03,98,94,1,0,82,26,33,4,1
192,93.58,85.13,6.45,61,27,3,0,75,31,74,1,0
193,93.72,87.91,5.09,95,70,4,0,93,33,46,1,1
194,82.22,94.96,9.27,60,76,5,1,37,53,41,1,1
195,69.58,63.81,6.09,66,23,5,2,84,58,40,4,0
196,70.02,89.31,9.46,33,55,4,1,48,92,43,4,1
197,86.22,86.76,8.44,20,38,0,2,96,83,38,4,0
198,93.58,57.74,8.66,36,43,1,2,23,31,43,2,0
199,93.14,71.65,5.97,74,60,4,3,31,53,45,1,0
200,88.53,67.16,6.12,72,68,3,2,75,46,44,4,1
201,82.61,68.09,7.5,50,65,3,1,67,41,64,3,0
202,58.62,97.27,5.83,81,55,2,3,38,37,48,4,0
203,61.95,82.64,6.47,27,29,3,0,45,65,93,0,0
204,93.64,85.86,6.54,49,97,4,0,57,63,30,0,0
205,81.08,96.99,5.77,96,26,4,2,99,37,43,1,0
206,55.4,71.22,5.98,99,31,3,0,44,56,43,1,0
207,59.36,89.48,8.79,85,67,0,0,75,26,31,1,0
208,83.53,73.68,5.8,64,56,1,3,93,87,26,2,0
209,55.22,92.39,5.14,37,94,5,1,47,99,59,0,1
210,61.91,62.77,8.02,64,55,4,0,80,79,89,0,1
211,78.6,95.75,9.68,38,79,3,0,70,67,95,1,1
212,84.75,64.41,6.59,96,96,5,1,31,70,98,0,1
213,83.03,69.03,5.57,87,27,3,3,27,71,42,0,0
214,64.64,87.52,7.74,69,26,4,3,77,96,90,2,1
215,85.62,71.93,9.35,44,62,2,0,42,71,57,3,0
216,65.2,81.15,8.76,57,77,1,2,56,73,50,1,1
217,68.99,74.12,7.99,55,65,4,1,30,60,48,3,0
218,87.1,86.92,6.51,87,53,5,3,36,61,63,3,1
219,82.93,64.82,7.6,75,91,3,0,75,41,47,2,1
220,91.52,57.51,5.44,58,41,2,3,72,58,95,0,0
221,83.28,67.9,8.26,82,40,4,0,86,42,87,1,1
222,79.44,75.4,8.48,26,34,1,1,21,67,40,4,0
223,59.03,62.22,9.63,77,24,2,2,48,52,28,3,0
224,70.81,70.26,6.25,99,36,5,1,76,60,68,3,1
225,66.4,72.2,5.09,78,91,3,3,53,49,56,2,1
226,65.49,57.47,7.62,67,38,0,3,97,97,40,3,1
227,96.84,80.08,8.39,24,24,1,3,21,66,79,3,0
228,71.9,93.03,8.79,55,42,2,2,94,76,42,3,1
229,93.36,61.52,5.93,44,33,4,1,50,91,29,2,0
230,82.14,80.71,6.26,64,29,4,0,96,76,89,0,0
231,89.18,83.58,7.46,38,50,2,1,63,81,40,3,0
232,76.61,73.03,6.59,26,32,4,1,75,76,48,1,0
233,79.81,85.15,9.13,77,41,2,2,73,87,78,3,1
234,76.18,72.66,7.27,85,56,1,1,72,91,59,3,1
235,63.4,76.7,8.84,99,58,4,3,93,44,40,1,1
236,86.07,55.32,7.79,58,29,1,2,95,59,82,2,0
237,67.07,84.74,8.71,37,50,3,3,65,36,65,4,1
238,56.05,83.44,6.6,20,62,3,3,73,99,24,1,0
239,82.76,56.65,8.99,82,96,3,1,50,67,34,4,1
240,62.62,70.83,6.32,22,55,3,0,43,58,99,0,0
241,95.44,97.1,7.62,40,54,4,1,44,34,59,0,0
242,96.02,73.09,6.03,49,87,2,0,54,36,23,3,0
243,94.34,76.58,7.28,30,74,4,2,76,54,43,3,0
244,70.92,94.13,6.53,41,87,5,2,91,52,61,2,1
245,55.66,85.84,6.28,76,66,4,2,88,37,45,4,1
246,94.92,80.03,9.64,22,25,1,3,47,49,85,0,0
247,73.41,89.31,5.77,49,47,2,3,95,56,27,0,0
248,96.57,92.17,8.78,64,49,0,2,52,26,92,3,1
249,96.44,74.65,9.72,55,46,0,1,72,93,85,3,1
250,91.68,75.43,5.1,91,88,2,3,35,99,97,2,1
251,67.66,71.6,8.36,83,58,0,3,45,47,39,3,1
252,71.56,96.57,6.21,73,54,2,1,31,37,85,3,0
253,91.6,84.98,5.19,87,63,1,3,96,66,87,2,1
254,68.63,58.58,6.93,69,34,1,1,50,42,74,3,0
255,62.29,92.11,9.49,50,51,4,0,46,39,97,3,1
256,78.94,75.66,5.06,48,48,0,1,55,50,98,3,0
257,95.25,57.96,7.82,78,82,2,0,78,33,58,4,1
258,84.93,78.64,7.41,55,25,1,3,22,42,69,0,0
259,79.51,72.94,9.19,96,46,4,0,51,21,39,1,1
260,59.18,92.74,5.4,92,47,0,1,34,48,89,0,0
261,81.45,63.77,8.27,86,24,0,0,94,69,47,4,0
262,97.57,90.54,8.26,95,60,0,2,85,92,62,1,1
263,61.02,78.98,8.21,30,75,1,1,82,78,85,0,1
264,77.29,57.35,9.52,30,73,1,1,20,52,47,2,0
265,92.73,96.79,8.95,45,99,0,0,94,67,97,4,1
266,86.85,77.04,5.2,72,37,1,3,24,63,92,2,0
267,84.97,67.51,7.26,33,96,0,3,25,31,42,2,0
268,85.21,75.18,6.91,83,62,3,1,24,61,54,0,0
269,70.46,91.89,6.49,99,93,1,1,92,54,41,1,1
270,67.62,68.11,7.17,29,48,2,0,47,60,24,3,0
271,89.8,63.29,6.84,50,29,1,1,88,74,79,3,0
272,89.83,60.55,7.08,55,25,0,1,63,32,60,4,0
273,92.28,67.81,9.7,29,99,2,3,35,58,48,2,1
274,94.27,88.54,5.43,45,23,4,1,90,85,54,4,0
275,76.99,75.28,9.43,39,53,2,0,97,54,87,0,1
276,76.57,64.78,7.31,63,52,2,1,41,91,64,2,0
277,89.33,62.15,7.99,81,23,1,1,92,52,28,3,0
278,82.95,69.31,8.98,92,63,5,1,42,55,70,0,1
279,85.18,95.42,6.73,98,95,2,2,62,32,33,0,1
280,89.22,69.75,7.07,28,50,2,1,87,75,88,4,0
281,93.27,97.49,6.97,90,99,0,0,62,65,75,4,1
282,69.53,75.86,6.8,43,85,1,3,45,92,30,1,0
283,71.15,62.7,9.44,31,77,0,3,60,65,49,3,1
284,59.04,93.32,8.98,79,79,1,2,89,63,58,3,1
285,79.87,74.8,5.52,97,21,4,0,50,65,43,4,0
286,56.55,85.52,5.52,35,55,5,3,36,93,99,3,1
287,75.02,97.3,7.05,48,89,2,3,28,88,77,3,1
288,78.33,57.16,5.47,51,79,1,1,74,50,49,0,0
289,67.32,59.16,7.97,54,42,2,1,25,43,43,2,0
290,80.41,85.98,5.69,62,66,2,1,89,51,86,2,1
291,56.31,67.12,7.51,72,65,3,2,83,86,48,1,1
292,56.61,62.92,5.03,39,99,0,1,23,35,61,2,0
293,90.37,56.69,6.52,27,63,5,0,86,76,95,3,1
294,70.49,55.94,8.25,61,38,1,2,75,43,81,0,0
295,60.46,88.3,7.32,96,68,4,3,37,53,46,2,1
296,77.46,60.78,9.7,89,77,5,3,51,71,48,3,1
297,88.11,75.11,9.2,35,26,3,0,67,67,85,3,0
298,64.28,81.05,6.72,88,60,0,0,48,72,76,4,0
299,81.78,73.42,5.22,72,97,4,3,51,74,80,4,1
300,58.67,56.17,9.06,64,34,4,0,44,57,48,2,0
301,57.22,88.69,9.37,70,95,2,0,95,21,76,4,1
302,77.85,55.45,8.94,25,72,0,0,82,88,92,3,1
303,78.25,87.76,5.61,52,42,3,1,28,72,74,3,0
304,82.41,93.41,9.79,98,96,1,3,90,69,63,4,1
305,86.22,73.61,6.24,34,92,1,0,33,48,47,0,0
306,96.96,78.03,8.48,33,84,3,0,39,93,56,4,1
307,77.2,75.51,9.36,58,79,2,1,29,74,42,0,1
308,68.89,71.74,6.13,82,29,2,3,30,80,96,4,1
309,89.19,93.16,9.36,24,77,4,2,58,69,88,3,1
310,66.65,93.44,6.49,71,66,0,3,38,35,77,3,0
311,73.88,69.44,9.69,35,34,4,3,38,89,98,4,1
312,58.37,81.45,6.35,57,28,1,3,62,63,51,1,0
313,56.09,94.86,9.58,72,32,3,1,80,35,88,0,1
314,96.39,96.37,5.26,96,42,0,3,89,47,55,1,0
315,90.95,76.89,8.4,72,52,3,2,91,76,51,3,1
316,84.93,74.47,7.55,65,28,0,0,84,45,78,0,0
317,72.58,66.98,7.29,34,22,5,3,42,30,79,4,0
318,62.45,96.23,6.07,78,92,1,1,79,20,99,0,1
319,61.73,61.14,8.39,69,44,1,3,29,88,93,0,1
320,65.76,79.93,5.92,28,90,5,3,82,62,46,2,1
321,78.62,67.15,7.65,45,55,0,2,21,65,43,0,0
322,85.73,67,6.22,22,39,2,2,55,55,86,3,0
323,83.39,72.41,9.59,66,73,0,1,76,85,55,1,1
324,67.04,97.95,5.14,24,38,1,1,85,76,33,1,0
325,96.06,57.36,5.96,81,79,3,1,98,25,87,4,1
326,86.73,79.88,6.16,24,56,4,1,39,81,63,2,0
327,78.84,58.55,6.99,29,22,3,1,61,46,67,1,0
328,81.3,61.64,6.12,99,38,1,0,40,45,51,1,0
329,73.04,73.9,7.36,82,72,3,0,85,32,36,0,0
330,65.65,76.95,9.19,44,65,2,1,57,95,76,3,1
331,70.31,66.13,8.42,63,99,2,1,97,37,58,3,1
332,87.59,68.61,7.78,44,75,0,0,88,57,51,4,0
333,55.62,58.74,5.43,49,89,3,2,43,25,87,3,0
334,59.99,68.04,8.33,33,50,3,0,45,47,21,1,0
335,56.98,96.56,5.8,62,72,1,1,21,24,97,0,0
336,56.75,95.62,8.77,47,53,0,2,65,78,61,3,0
337,91.78,69.4,6.2,38,50,0,1,53,98,57,2,0
